iter	MAE
320	2.121176349
321	2.120883446
322	2.120762006
323	2.120760267
324	2.120694274
325	2.120547205
326	2.120398266
327	2.120301674
328	2.11974653
329	2.119424045
330	2.119245053
331	2.119170489
332	2.118998055
333	2.118766836
334	2.118506847
335	2.118455942
336	2.118249562
337	2.11812146
338	2.118054094
339	2.117984856
340	2.117805441
341	2.117634557
342	2.117473077
343	2.117439383
344	2.117202511
345	2.117086053
346	2.116794097
347	2.116684953
348	2.116549798
349	2.11636124
350	2.116059008
351	2.115860827
352	2.115671707
353	2.115620934
354	2.115430437
355	2.115357002
356	2.11509857
357	2.114652629
358	2.114513374
359	2.114387106
360	2.114203672
361	2.114007832
362	2.113508992
363	2.113405737
364	2.113179752
365	2.113133973
366	2.11300373
367	2.112924979
368	2.112787547
369	2.112687195
370	2.112568192
371	2.112415693
372	2.112288583
373	2.112027118
374	2.111887192
375	2.111461947
376	2.111303379
377	2.111267785
378	2.111034966
379	2.110506684
380	2.110333525
381	2.110043193
382	2.109609573
383	2.109600614
384	2.109427602
385	2.109159377
386	2.108994559
387	2.108746695
388	2.108404698
389	2.10813769
390	2.107843304
391	2.107686614
392	2.107564539
393	2.10749074
394	2.107419405
395	2.107337557
396	2.107164788
397	2.107022517
398	2.10687251
399	2.10671225
400	2.10639274
401	2.106367174
402	2.106182623
403	2.106001891
404	2.105674111
405	2.105392496
406	2.105272035
407	2.105062282
408	2.104473876
409	2.104409272
410	2.104170807
411	2.103815923
412	2.103717005
413	2.103399151
414	2.103325385
415	2.103271163
416	2.103175377
417	2.103116176
418	2.103025804
419	2.102980629
420	2.102904795
421	2.102870842
422	2.10241017
423	2.102278359
424	2.101876894
425	2.101812624
426	2.101462029
427	2.101023032
428	2.101019373
429	2.100600546
430	2.100464542
431	2.100321167
432	2.100042871
433	2.099492718
434	2.099181924
435	2.09913845
436	2.099092266
437	2.098752329
438	2.09831795
439	2.098267149
440	2.098186379
441	2.097962432
442	2.09769887
443	2.097573582
444	2.097281091
445	2.097197237
446	2.097138907
447	2.096636252
448	2.09641907
449	2.096254937
450	2.096101273
451	2.096074487
452	2.09585273
453	2.095711639
454	2.095694883
455	2.095469875
456	2.095202662
457	2.095144067
458	2.095024822
459	2.094982821
460	2.094799756
461	2.09461733
462	2.094403102
463	2.094293933
464	2.093579527
465	2.093282916
466	2.093166205
467	2.09296889
468	2.092901106
469	2.0927745
470	2.092380492
471	2.092347669
472	2.092171308
473	2.091995141
474	2.091758811
475	2.091476104
476	2.091225447
477	2.091164038
478	2.091162246
479	2.090967106
480	2.09092167
481	2.090678609
482	2.090497154
483	2.090409239
484	2.09035126
485	2.090261213
486	2.090120673
487	2.089650756
488	2.089549359
489	2.089512834
490	2.0891104
491	2.088842171
492	2.088764596
493	2.088732275
494	2.088395723
495	2.088323982
496	2.088214351
497	2.088052913
498	2.087741211
499	2.087447519
500	2.087337795
501	2.087023217
502	2.086736465
503	2.086688997
504	2.086112303
505	2.085951413
506	2.085612713
507	2.085390269
508	2.085344649
509	2.085264161
510	2.085245359
511	2.085154529
512	2.085089073
513	2.084763807
514	2.084426669
515	2.084183765
516	2.083981885
517	2.083867025
518	2.083779584
519	2.083677539
520	2.083618246
521	2.083348643
522	2.083043577
523	2.082714785
524	2.082695211
525	2.082649473
526	2.082338819
527	2.082262108
528	2.082251619
529	2.082201639
530	2.082046625
531	2.081903386
532	2.081555166
533	2.08135066
534	2.081343907
535	2.081298055
536	2.081174789
537	2.081007312
538	2.080709075
539	2.080388912
540	2.080305134
541	2.080281644
542	2.080083745
543	2.079983196
544	2.079949263
545	2.079737695
546	2.079432032
547	2.079160535
548	2.079024364
549	2.078890286
550	2.078831145
551	2.078717093
552	2.078515232
553	2.078514824
554	2.078375003
555	2.078186168
556	2.077927386
557	2.077590566
558	2.07729044
559	2.077219388
560	2.076794445
561	2.076640899
562	2.076544992
563	2.076476165
564	2.076264295
565	2.076005882
566	2.075798016
567	2.07554975
568	2.075485385
569	2.075373505
570	2.075316436
571	2.075016956
572	2.074770121
573	2.074687449
574	2.074631596
575	2.074283379
576	2.074168278
577	2.07387386
578	2.073690375
579	2.073381092
580	2.072916472
581	2.072860456
582	2.072463138
583	2.072347306
584	2.072174134
585	2.072066924
586	2.071975272
587	2.07137475
588	2.07129247
589	2.071137041
590	2.070748029
591	2.070725821
592	2.070578768
593	2.070468517
594	2.070375955
595	2.070170108
596	2.070134163
597	2.070116275
598	2.069844022
599	2.069747414
600	2.069706479
601	2.069492127
602	2.069390978
603	2.06929782
604	2.069182325
605	2.068652882
606	2.068624935
607	2.06825069
608	2.067940471
609	2.06784937
610	2.067534599
611	2.067338614
612	2.06724565
613	2.067162756
614	2.067064484
615	2.066719919
616	2.0664301
617	2.066296153
618	2.06627002
619	2.065989981
620	2.065897606
621	2.065530696
622	2.065444979
623	2.065397411
624	2.065147118
625	2.065061572
626	2.064895052
627	2.064740079
628	2.06458089
629	2.064491412
630	2.064489647
631	2.063885843
632	2.063757915
633	2.063753843
634	2.063182992
635	2.063068496
636	2.062858119
637	2.06251439
638	2.062424572
639	2.062186773
640	2.061927312
641	2.061851504
642	2.061733365
643	2.061670988
644	2.061168756
645	2.060935795
646	2.060858407
647	2.060269916
648	2.060060344
649	2.059973598
650	2.05988756
651	2.059685515
652	2.059450321
653	2.059410598
654	2.059299831
655	2.059100638
656	2.059081774
657	2.058744399
658	2.058535956
659	2.058449059
660	2.058316228
661	2.058289579
662	2.058231619
663	2.05787275
664	2.05778519
665	2.057694752
666	2.057691993
667	2.057491428
668	2.057305559
669	2.057277868
670	2.057000829
671	2.056985926
672	2.05696649
673	2.056866845
674	2.056594668
675	2.056540544
676	2.056420082
677	2.056321825
678	2.056014133
679	2.055807633
680	2.055644201
681	2.055632889
682	2.055182605
683	2.055143604
684	2.054977144
685	2.054780667
686	2.054264252
687	2.054078081
688	2.053761117
689	2.053374769
690	2.053065735
691	2.052596798
692	2.05250328
693	2.05231286
694	2.052235786
695	2.052089119
696	2.051902038
697	2.05179032
698	2.051611897
699	2.051487139
700	2.051225355
701	2.05110263
702	2.051080601
703	2.050970096
704	2.050893516
705	2.050884641
706	2.050851783
707	2.050780529
708	2.050666082
709	2.050572849
710	2.050425504
711	2.050240172
712	2.05014826
713	2.050088137
714	2.050031839
715	2.049666354
716	2.049653692
717	2.049581681
718	2.049507954
719	2.049268056
720	2.048990865
721	2.048952401
722	2.048884183
723	2.048778291
724	2.048664546
725	2.048483216
726	2.048448844
727	2.048276285
728	2.048076122
729	2.047934865
730	2.047892191
731	2.047880638
732	2.04773671
733	2.047715828
734	2.047622434
735	2.047592859
736	2.047529526
737	2.047427949
738	2.047114783
739	2.047086067
740	2.047033989
741	2.046990392
742	2.046850845
743	2.046688838
744	2.046595995
745	2.046575008
746	2.046478271
747	2.046171034
748	2.046120077
749	2.046068386
750	2.045912533
751	2.045831785
752	2.04577716
753	2.045727925
754	2.04564803
755	2.045076277
756	2.04492759
757	2.04432397
758	2.044004184
759	2.043812346
760	2.043710441
761	2.043540803
762	2.043432121
763	2.043296989
764	2.043175179
765	2.043114197
766	2.04300984
767	2.042990669
768	2.042816724
769	2.042747683
770	2.042672907
771	2.042466106
772	2.04219161
773	2.042029187
774	2.041824706
775	2.04154423
776	2.041447343
777	2.041353686
778	2.041324918
779	2.041250165
780	2.041127693
781	2.041072672
782	2.041035077
783	2.04082119
784	2.040720252
785	2.04055024
786	2.040510432
787	2.040371895
788	2.040304836
789	2.040287917
790	2.040197226
791	2.040090387
792	2.040038825
793	2.039916283
794	2.03966068
795	2.039542465
796	2.039515984
797	2.039298844
798	2.039213093
799	2.039085499
800	2.039023292
801	2.03899873
802	2.038985602
803	2.038858757
804	2.038729158
805	2.038651126
806	2.038596583
807	2.038411642
808	2.038409527
809	2.038350477
810	2.038180045
811	2.038119975
812	2.037925682
813	2.037576141
814	2.037546814
815	2.037534345
816	2.037367335
817	2.037137693
818	2.036987249
819	2.036890357
820	2.036823656
821	2.036819913
822	2.03658899
823	2.036547855
824	2.036224092
825	2.036209786
826	2.036055048
827	2.035840709
828	2.035730002
829	2.035688294
830	2.035636637
831	2.035443333
832	2.035304085
833	2.034750888
834	2.034693171
835	2.034666539
836	2.034313052
837	2.034276331
838	2.034251755
839	2.034178418
840	2.034105644
841	2.034047392
842	2.03393618
843	2.033883377
844	2.033729199
845	2.033533481
846	2.033411273
847	2.033288447
848	2.033135762
849	2.033097753
850	2.03298303
851	2.032765348
852	2.032751457
853	2.03254779
854	2.032404311
855	2.032271209
856	2.03215998
857	2.032049845
858	2.031974351
859	2.031859348
860	2.03175669
861	2.031412183
862	2.031366657
863	2.031249004
864	2.03124761
865	2.031119663
866	2.031092976
867	2.030935847
868	2.030802542
869	2.030776614
870	2.030711705
871	2.030618967
872	2.030517517
873	2.030387831
874	2.03022476
875	2.030180339
876	2.030083403
877	2.029861676
878	2.0297126
879	2.029430798
880	2.029397184
881	2.029231499
882	2.029097909
883	2.029029106
884	2.028937746
885	2.028872585
886	2.02879196
887	2.02839042
888	2.028330271
889	2.028217357
890	2.02818643
891	2.02787959
892	2.027866948
893	2.027720871
894	2.027666704
895	2.027624871
896	2.027427679
897	2.027351701
898	2.027277777
899	2.027218983
900	2.027149739
901	2.026937022
902	2.026861079
903	2.026857756
904	2.026720761
905	2.026546353
906	2.026534447
907	2.026410463
908	2.026295736
909	2.025836492
910	2.025739451
911	2.025695481
912	2.025422608
913	2.025388635
914	2.025271672
915	2.02521562
916	2.024979633
917	2.024890443
918	2.024840998
919	2.02467193
920	2.024540506
921	2.024412911
922	2.024374902
923	2.024242349
924	2.024077671
925	2.024031298
926	2.02401176
927	2.023872882
928	2.023807585
929	2.023390539
930	2.023159594
931	2.023088982
932	2.023033089
933	2.022939538
934	2.02238903
935	2.022211326
936	2.022007865
937	2.021864682
938	2.021661154
939	2.021547903
940	2.021341978
941	2.020868183
942	2.020813829
943	2.02077665
944	2.020750287
945	2.020663899
946	2.020585855
947	2.020535464
948	2.020069078
949	2.020031312
950	2.019979842
951	2.019790001
952	2.019716577
953	2.019621864
954	2.019517564
955	2.019436542
956	2.019391419
957	2.019171634
958	2.018862321
959	2.018781763
960	2.018761509
961	2.018703955
962	2.018619754
963	2.018547918
964	2.018349376
965	2.018184282
966	2.018005619
967	2.01787786
968	2.017615326
969	2.017572551
970	2.017394453
971	2.01731475
972	2.017190459
973	2.017123303
974	2.016599118
975	2.016557034
976	2.016465011
977	2.016347598
978	2.016336017
979	2.016245594
980	2.015993144
981	2.015977211
982	2.015921951
983	2.015651805
984	2.015481414
985	2.015349558
986	2.015316538
987	2.015313473
988	2.015133808
989	2.015052122
990	2.014765501
991	2.014680803
992	2.014412325
993	2.014367317
994	2.014241013
995	2.014069224
996	2.014020662
997	2.013997998
998	2.01395097
999	2.013891383
